INFO  - 2013-10-08 14:41:28.525; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/ethers.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.525; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/themes.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.528; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/event-utils.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.528; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/labellers.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.529; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/ether-painters.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.530; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/sources.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.530; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/original-painter.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.531; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/detailed-painter.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.532; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/overview-painter.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.536; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/compact-painter.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.537; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/decorators.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.540; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/styles/timeline.css} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.540; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/units.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.540; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/styles/events.css} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.540; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/de/labellers.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.541; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/styles/ethers.css} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.541; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/de/timeline.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.542; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/en/timeline.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.542; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/en/labellers.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.716; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/images/copyright-vertical.png} status=0 QTime=1 
INFO  - 2013-10-08 14:41:28.738; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/images/progress-running.gif} status=0 QTime=0 
INFO  - 2013-10-08 14:41:28.742; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/images/dull-blue-circle.png} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.348; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/browse params={q=nether&to_day=31&from_day=1&to_month=12&from_month=1&fq=date:[1987-01-01T00:00:00Z+TO+1987-12-31T00:00:00Z]} hits=3 status=0 QTime=67 
